question,answer
What could Electrification cost-efficiently bust? ,greenhouse gases
What is the name of the company that has secured debt to acquire electric vehicles? ,Homegrown Blusmart Mobility
What is the name of the 200 MW DC Backbone Solar Farm? ,CPV Backbone
What is the name of the new method that MIT and Stanford have developed? ,machine learning system
What is the name of the project that Nicholas Welch helped set up for? ,Jack’ s Solar Garden
What is the name of the prize competition that is funded by the U.S. Department of Energy Solar Energy Technologies Office? ,American-Made Challenges: Perovskite Startup Prize
Howden has signed a framework agreement with Nel Hydrogen Electrolyser to supply hydrogen compressor solutions to its electrolysers. ,a division of Nel ASA
What did Naomi Oreskes and Eric Conway write in 2010? ,Merchants of Doubt
What is David Wilson's name? ,TAQA
What was virtually unknown just a few years ago? ,Virtual power plants
What is the share of natural gas in the energy mix? ,24.5%
What is the name of the first utility-scale battery energy storage system? ,BESS
What is the name of the first carbon neutral cement plant in the world? ,Edmonton CCUS
What is the Sensi+TM? ,a laser-based analyzer used for monitoring natural gas quality
What would be a blow to Vladimir Putin? ,increasing domestic oil and gas production
What is the name of the National Project Coordinator at the United Nations Industrial Development Organization? ,Tebogo Maleka
What was the global production of natural gas in 4Q2020? ,3.7 million boe/d
What is the first phase of the project? ,to assess the viability of the wells that they have available at Magn
What is the cost of concentrating solar power collector structures? ,structural design costs
What is the name of the project that led the development? ,Lhyfe
What is an important feature found in electric vehicles? ,Regenerative braking
What year did the NJBPU approve Solar Landscape? ,2021
"In 2012, Enel Green Power added a 26.4 MW solar PV unit to the Stillwater geothermal plant in Nevada. ",one of the largest PV systems of its kind in the United States
What is the only path to save civilisation from the most catastrophic impacts of global heating? ,Renewable energy
What is the name of the company that focuses on a zero emissions future? ,SEA Electric
What is the name of the new application for RNG? ,FortisBC
What is the name of the company that has selected Nextracker to supply trackers for a mega solar power project in India? ,"The world’ s largest solar engineering, procurement, and construction firm"
What is the plan of the protests? ,maximum ” disruption
What was the end of our virtual Roundtables US 2023? ,It’ s a wrap
What is the location of First Solar' s fifth solar panel manufacturing facility in the US? ,Acadiana Regional Airport
What energy giant has reinforced its commitment to making Aberdeen greener? ,BP
"What company announces the spin off of BrightSource Energy, Inc.'s Israeli, UK, and South African subsidiaries? ","BrightSource Energy, Inc"
What is the name of the National Project Coordinator at the United Nations Industrial Development Organization? ,Tebogo Maleka
What is the name of the geothermal drilling company that sells a 50% stake in Iceland Drilling? ,Archer
What is the name of the study that is led by Dr. Kate Quigley? ,AIMS
What is the cost of the Inflation Reduction Act? ,$ 5 billion
How many schools have rooftop spaces for the installation of 35 MW of capacity? ,500
How many researchers have established a forum to debate and develop eco-friendly food packaging for the future? ,More than 220
What is the name of the email that morgan.evans sends to you to get the best natural gas news and data? ,Hydrogen
What is the name of the e-bike that is a step forward for Phoenix? ,The Lectric eBikes XPedition Series
What is the Sensi+TM? ,a laser-based analyzer used for monitoring natural gas quality
What is the name of the new stationary fuel cell power system? ,Honda
What is the name of the North American photovoltaic module manufacturing company? ,Silfab Solar Inc.
What is the name of the study Zamurovic Brothers published? ,Shutterstock.com
What is the name of the National Project Coordinator at the United Nations Industrial Development Organization? ,Tebogo Maleka
What is the name of the system that solar panels are in the TerraVis system? ,Solar panels
What is the name of the National Project Coordinator at the United Nations Industrial Development Organization? ,Tebogo Maleka
What is the Sensi+TM? ,a laser-based analyzer used for monitoring natural gas quality
What is the name of the third manufacturing facility in the US? ,"Lake Township, Ohio"
What is the largest model in the MINI family of? ,InPlanet
What is the purpose of AZoCleantech? ,to inspire the world to turn off the plastic tap to help reduce its burden
What is the key priority of AZoCleantech? ,realize printable electronics with as small a material set as possible to streamline their
What group invested in REC Silicon's production of polysilicon? ,South Korean
What is the name of the project that Leeward Renewable Energy has begun on site construction? ,Big Plain Solar project
What is the most pressing challenge for Mexico's natural gas industry? ,the disastrous combination between the degree of import dependency and current domestic production levels
What is the name of the company that is responsible for the data that you register with us? ,NHST Global Publications AS
What is the largest under-construction in the country? ,BESS
What is green hydrogen used to reduce reliance on Russian fossil fuels? ,electrolyzers and wind and solar power
What is the name of the event that led to the event in Bilbao? ,WindEurope’ s 2022 event
What is the Sensi+TM? ,a laser-based analyzer used for monitoring natural gas quality
What is the name of the new issue of our new series? ,India x Cleantech
"What is the city of Ithaca, New York located 180 miles from Manhattan? ",Manhattan
What is the Sensi+TM? ,a laser-based analyzer used for monitoring natural gas quality
What is the goal of the Chicago Recovery Plan? ,$ 2.5 billion
What year did DAS Solar sign a module distribution agreement? ,2023
What is the operating temperature of the lithium-ferro-phosphate battery and inverter kit? ,32 degrees F to 113 degrees F
"What is the name of the Act that stimulates a massive reinvestment in manufacturing, infrastructure, and good working class jobs in the US? ",Inflation Reduction Act
What can be a costly investment? ,Solar
What is the current size of Thurso cell manufacturing plant? ,the second largest in the UK
Who was the founder of W & T in 1983? ,Tracy Krohn
What is the name of the company that explains the best performance in Australian wind market? ,GE
What is the global clean energy base? ,2.8TW
What was the latest edition of Tesla Inside Out recorded before the COVID-19 crisis? ,David Havasi
What was the name of the company that said supply chain challenges were stabilising? ,Subsea 7
What is the name of the consortium that has worked with the EBTKE? ,"Directorate General of New, Renewable Energy and Energy Conservation"
What is the name of the company that won the silver at Monash Food Innovation? ,New Frontiers Program
What is Saudi Arabia's net-zero carbon emissions target? ,2060
What is the Sensi+TM? ,a laser-based analyzer used for monitoring natural gas quality
What is the name of the research conducted by Plymouth Marine Laboratory? ,feeding microplastics and algae to specific species of mussels
What is the name of the new electrochemical device that researchers designed and constructed? ,solid-state electrolyte
What is the largest coal shipper in the world? ,Glencore
What is the name of the independent solar developer that bp has reached an agreement to purchase? ,7X Energy
What is Desert Bloom Hydrogen? ,a commercial-scale project to synthesize renewable hydrogen using air for
What is BYD's blade battery technology? ,"modular plug and play design, cobalt-free LFP battery "
"In a recent article by Mark McClure, who published in the Journal of Petroleum Technologies, what could multistage stimulation help transform the geothermal energy industry as we know it today? ",ResFrac Corp.
What is the name of the Spanish solar tracker manufacturer that is expected to finish construction at its tracker manufacturing facility in Texas? ,PV Hardware
In what year will EDF Renouvelables switch on a solar array? ,2023
What is the name of the company that is backed by investors? ,Mitsubishi
What is the name of the SEIA whitepaper? ,Solar Energy Industries Association
What is the name of the annual shareholder meeting that will take place on October 7th? ,Tesla
What is the name of the upcoming plastic tax? ,SCS certificate
What is the law of unintended consequences? ,green hydrogen edition
How many operated Delaware wells were turned to sales? ,10
What is the name of the company that has perfected a new dry battery process? ,Volkswagen
How many organisations have recognised Ashden in its 2022 Awards? ,eight
What is Rystad's estimate for the energy services sector? ,$ 1 trillion
What is the name of the company that is excited about the impact of our partnership with DTNA and BlackRock? ,NextEra Energy Resources
What is the name of the project that will investigate the potential of harnessing offshore wind and marine renewable energy to produce zero carbon hydrogen and ammonia fuels? ,£10m research project
What is the first loan by the US treasury to the Clean Technology Fund? ,$ 950 million
What is the production capacity of Enel's solar module manufacturing subsidiary? ,3GW
What was the name of the company that started Canadian growth by Imperial? ,E3
